Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2008,1,1,Saturday 5 April,0.604166667,Central Pulse,New Zealand,33-50,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"TSB Bank Arena, Wellington"
2008,1,1,Sunday 6 April,0.541666667,Queensland Firebirds,Australia,48-46,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,1,1,Sunday 6 April,0.729166667,Northern Mystics,New Zealand,44-48,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Trusts Stadium, Auckland"
2008,1,1,Monday 7 April,0.791666667,Waikato Bay of Plenty Magic,New Zealand,46-42,Adelaide Thunderbirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2008,1,1,Monday 7 April,0.791666667,New South Wales Swifts,Australia,53-42,Southern Steel,New Zealand,New South Wales Swifts,Australia,"Acer Arena, Sydney"
2008,2,1,Saturday 12 April,0.604166667,Canterbury Tactix,New Zealand,50-44,New South Wales Swifts,Australia,Canterbury Tactix,New Zealand,"Westpac Centre, Christchurch"
2008,2,1,Sunday 13 April,0.5625,Melbourne Vixens,Australia,62-52,Queensland Firebirds,Australia,Melbourne Vixens,Australia,"State Netball and Hockey Centre,Melbourne"
2008,2,1,Sunday 13 April,0.729166667,Waikato Bay of Plenty Magic,New Zealand,56-52,Northern Mystics,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2008,2,1,Monday 14 April,0.791666667,Central Pulse,New Zealand,50-52,Southern Steel,New Zealand,Southern Steel,New Zealand,"TSB Bank Arena, Wellington"
2008,2,1,Monday 14 April,0.75,West Coast Fever,Australia,41-54,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2008,3,1,Saturday 19 April,0.604166667,Northern Mystics,New Zealand,45-49,West Coast Fever,Australia,West Coast Fever,Australia,"Trusts Stadium, Auckland"
2008,3,1,Saturday 19 April,0.604166667,New South Wales Swifts,Australia,50-47,Waikato Bay of Plenty Magic,New Zealand,New South Wales Swifts,Australia,Newcastle Entertainment Centre
2008,3,1,Sunday 20 April,0.5625,Melbourne Vixens,Australia,38-39,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Vodafone Arena, Melbourne"
2008,3,1,Monday 21 April,0.791666667,Canterbury Tactix,New Zealand,42-51,Southern Steel,New Zealand,Southern Steel,New Zealand,"Westpac Arena, Christchurch"
2008,3,1,Monday 21 April,0.791666667,Queensland Firebirds,Australia,56-28,Central Pulse,New Zealand,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,4,1,Saturday 26 April,0.604166667,Waikato Bay of Plenty Magic,New Zealand,61-47,West Coast Fever,Australia,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,4,1,Saturday 26 April,0.604166667,Queensland Firebirds,Australia,46-40,Northern Mystics,New Zealand,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,4,1,Sunday 27 April,0.541666667,Adelaide Thunderbirds,Australia,54-41,Southern Steel,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2008,4,1,Monday 28 April,0.791666667,Canterbury Tactix,New Zealand,50-58,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Westpac Arena, Christchurch"
2008,4,1,Monday 28 April,0.791666667,New South Wales Swifts,Australia,59-30,Central Pulse,New Zealand,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2008,5,2,Saturday 3 May,0.604166667,Waikato Bay of Plenty Magic,New Zealand,54-37,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,5,2,Saturday 3 May,0.520833333,West Coast Fever,Australia,46-65,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Challenge Stadium, Perth"
2008,5,2,Monday 5 May,0.791666667,Southern Steel,New Zealand,48-50,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Stadium Southland, Invercargill"
2008,5,2,Monday 5 May,0.791666667,New South Wales Swifts,Australia,52-53,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Newcastle Entertainment Centre
2008,6,2,Saturday 10 May,0.604166667,Southern Steel,New Zealand,48-51,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Stadium Southland, Invercargill"
